net_oil_kbpd,bhp_psig,thp_psig,gor_scfperstb
1.676654025,2200.69,903.06,430.4599152
2.78594271,2194.36,912.05,424.4142326
2.763931661,2194.18,912.92,405.7715439
4.840263875,2179.26,895.52,408.6125805
6.679635617,2165.48,869.13,405.0372748
6.889282134,2160.34,864.2,402.5826573
8.698377541,2143.29,825.92,402.3181957
10.35936468,2130.5,787.64,401.6626395
10.15136504,2123.74,787.5,403.1859566
11.94940158,2115.27,744.14,398.256409
13.68322058,2082.36,678.46,402.8821059
14.55272403,2056.11,639.02,410.0199016
14.48773035,2049.7,638.44,411.640751
14.20499621,2028.19,637.42,419.0806366
13.91494781,1969.64,611.32,431.2945991
13.88507762,1962.3,599.14,414.8758631
13.74387467,1941.56,606.68,453.6855589
13.45301659,1910.83,607.12,471.5932209
13.13648108,1883.01,631.33,532.2154873
13.10921123,1879.8,629.59,537.8185511
13.36297815,1901.32,562.89,393.6440485
12.88411335,1858.74,637.28,602.4173423
12.86494954,1856.44,637.57,607.8994126
12.78467781,1850.21,639.31,620.8793168
12.70221264,1844.47,641.05,634.1272487
12.62810193,1839.03,643.22,647.0789674
12.63081437,1839.59,645.4,646.9695038
10.96860862,1839.22,718.19,695.3514173
7.558425772,1865.59,762.12,562.8513201
7.953108053,1897.88,693.1,431.1672399
7.851325306,1886.84,755.02,528.0447533
7.92293264,1905.2,660.77,379.7156049
11.47271039,1858.43,694.99,603.7512809
7.716400853,1876.71,781.99,583.2067681
7.668341501,1874.22,796.92,617.9366475
7.600903898,1859.5,825.78,702.0343833
5.285114849,1879.24,794.46,549.7803078
5.425893265,1891.24,775.46,514.4530939
5.388984054,1888.33,800.11,551.088604
5.701372004,1912.02,664.39,365.1699634
5.555684657,1896.95,739.94,449.3231632
5.415228245,1882.89,835.35,615.0645611
5.267584157,1874.34,865.94,688.2085801
5.291154898,1870.53,877.11,719.3134618
4.023946046,1880.99,819.975,575.6973274
4.032133978,1882.37,837.67,604.390101
4.042687104,1881.83,841.73,617.7344923
4.010152183,1878.07,863.33,667.3166402
3.990529901,1877.05,870,670.4066413
3.967959425,1875.34,875.37,689.1198227
2.623507568,1887.61,767.78,496.3356114
2.613008211,1888.8,772.13,521.1355475
3.341807129,1884.82,828.1,595.5177836
3.388364978,1878.79,778.51,499.331745
3.403170643,1876.4,790.11,534.812872
7.477750261,1845.36,944.53,1074.069823
3.212648605,1861.6,948.45,860.6407845
2.708697263,1870.19,819.69,592.770891
2.63016488,1860.23,940.76,882.9651093
2.622288924,1859.63,943.95,885.5213346
1.847173575,1864.62,835.35,688.5738685
1.830624814,1875.46,681.36,465.1269876
1.866611396,1869.87,813.02,649.6877202
1.915911006,1868.21,823.31,665.2665935
1.887037809,1865.83,834.77,706.6458713
0.841646485,1869.78,669.76,609.2871987
1.052364681,1870.86,691.94,551.9978849
1.119932953,1867.18,773,735.4029645
0.991881299,1872.66,626.98,462.3055439
2.525329998,1846.44,937.72,894.2453199
1.712892522,1839.1,998.62,1159.82252
1.809416838,1844.58,839.12,735.2685163
1.824818132,1830.29,1002.97,1222.612302
1.801294103,1828.87,1014.71,1271.402621
1.795517069,1835.67,632.35,473.347952
1.764279914,1823.4,945.69,1059.266566
2.608548792,1817.12,905.53,728.9941978
5.219625229,1788.17,1053.57,1935.664391
1.475105141,1806.11,1023.41,1421.972565
1.751605737,1810.85,883.2,895.3335887
1.607296154,1804.41,995.86,1308.232567
1.474729657,1814.21,586.82,567.8220608
1.578239175,1810.99,639.89,571.2378706
1.740512093,1807.5,800.4,728.3638232
1.736508545,1804.84,873.63,902.7349568
1.466038454,1805.75,582.03,366.3456669
1.484643937,1803.45,586.82,362.1776234
1.576973092,1800.42,628.72,419.4522316
1.758449006,1796.42,795.76,687.2539347
1.481031394,1798.43,584.06,403.5661231
1.744715545,1793.64,751.54,589.1656607
1.734331704,1790.47,850.86,834.6071002
1.707879306,1788.88,883.34,917.2149032
1.480370714,1793.22,601.9,403.7288467
1.715721473,1786.92,844.05,808.2883448
1.43358507,1789.64,592.76,373.7364765
1.63684376,1778.58,947.87,1138.522482
1.697573439,1781.65,766.47,639.7903574
1.651049709,1775.92,917.71,1056.42339
1.628478782,1773.15,916.69,1070.549196
1.608778477,1771.48,943.23,1157.772874
1.615404825,1770.72,890.74,1004.613765
1.677815871,1761.1,971.5,1266.714623
1.665749678,1761.1,971.5,1347.561632
1.511257134,1760.74,593.2,448.0096426
1.707620918,1757.91,733.99,648.1704575
1.677360684,1754.19,842.16,909.3671657
1.666500713,1754.24,686.58,591.015538
1.68075948,1750.1,837.23,907.6037317
1.574420872,1750.53,625.68,355.8063942
1.7071567,1745.05,840.42,824.0910874
0.639554695,1747.66,575.65,337.4666184
0.724092322,1746.05,618.86,387.4702389
0.782035058,1742.09,767.92,746.5897458
0.466837665,1744.18,521.86,441.4356978
0.588131922,1741.38,584.64,462.2969043
0.669049547,1740.46,613.79,504.4809022
0.735131303,1738.98,665.26,545.6664125
0.915617764,1734.55,848.54,973.4970109
2.003677894,1729.4,1037.33,1613.187628
4.822412617,1700.05,1036.17,2594.074127
1.735256424,1731.83,866.23,712.9214005
1.847088595,1723.62,1056.76,1745.133049
4.496919112,1696.72,1043.28,2297.6486
1.166409965,1720.22,1022.54,1702.097264
1.239595708,1706.11,508.23,346.3752462
1.730622376,1694.59,525.05,333.4708184
1.904711539,1686.27,591.02,402.4974625
1.491764298,1691.98,629.3,458.0710074
1.54594372,1687.01,736.31,676.9682149
1.557456381,1686.74,668.74,518.4061921
1.582397531,1680.32,788.08,814.3312425
1.61467781,1683.16,664.25,538.9636827
1.60195215,1673.02,845.06,992.3783475
1.66018212,1675.55,793.59,887.2548972
1.731827436,1673.24,727.61,644.9940223
1.633346191,1668.48,811.71,900.9110168
1.604511674,1669.4,689.62,616.9066246
1.568779535,1657.47,895.52,1241.623349
1.489152403,1664.64,629.01,579.7761933
1.540826378,1656.5,824.33,1029.491883
1.530156497,1658.18,665.41,644.195924
1.56932869,1654.35,753.71,820.6464674
1.520698107,1651.14,834.19,1081.832939
1.555698471,1650.83,701.51,711.6423481
1.574793214,1647.98,782.71,894.1632655
1.557473191,1646.72,742.835,749.4516679
1.524101138,1642.54,862.605,1158.247031
1.499507698,1640.61,889.58,1256.477588
1.587546601,1641.96,720.8,736.2832905
1.572783021,1638.85,808.09,971.5952739
1.284660263,1644.57,692.52,756.5626278
1.27786091,1643.99,669.61,666.3833701
0.827904487,1639.36,495.03,495.5652325
1.254715158,1628.28,749.07,873.6659766
1.17355191,1629.27,647.57,771.764051
1.185953591,1625.67,759.22,916.055682
1.260915477,1623.63,738.34,864.9243618
1.262970759,1620.28,743.27,863.6079483
1.2580707,1621.35,684.26,771.2762738
1.137645412,1613.88,872.18,1374.501068
1.262320033,1613.95,745.59,911.5558044
1.31011069,1610.23,795.18,1017.771589
1.910394285,1604.45,812.15,840.8850001
1.889676074,1607.02,663.52,531.9164041
1.908490769,1600.24,850.28,935.9210232
1.914260608,1601.85,739.5,682.5181934
1.871406465,1597.19,867.97,1017.457568
1.848160673,1597.31,628.87,510.1825494
1.893610204,1590.92,813.45,879.4373361
1.895358374,1589.91,707.165,657.1449008
1.861826161,1582.84,890.88,1119.053845
1.929884217,1586.37,744.865,739.6543911
1.919557215,1581.88,794.6,836.9808255
1.864961082,1575.45,853.035,988.6708753
1.84208113,1577.77,652.5,577.4505268
1.856904588,1570.11,851.44,1025.655978
1.873501969,1563.92,672.945,632.1048632
1.826114272,1558.11,840.5068,1008.473181
1.896547913,1561.3,707.6,688.3103841
1.86311927,1554.78,740.515,763.959458
1.457853599,1560.73,452.835,429.1898813
1.860659249,1543.03,767.05,829.5947789
0.934781033,1562.89,429.49,504.073535
0.653643248,1564.59,371.635,513.8288874
1.357924525,1550.96,417.854478,364.1437986
1.803217264,1534.41,601.037472,520.6206401
1.867859024,1528.49,727.655646,761.5397069
1.410421484,1543.87,612.19,480.2060252
1.375762036,1537.61,538.82,490.8615665
1.501621892,1529.69,727.755,774.0852613
1.491612588,1528.66,758.06,859.3305402
1.514674768,1534.36,608.855,613.0335043
1.476775897,1530.81,578.55,547.9772304
1.564872792,1524.99,722.39,789.4872637
1.530370666,1522.34,804.46,1001.942056
1.411562295,1528.19,599.14,571.0991705
1.481296677,1521.51,775.46,911.6949776
2.824391581,1557.56,411.08,306.2341521
2.32381761,1558.34,414.69,310.7137511
3.712199933,1529.8,694.96,705.6863307
2.196253639,1537.76,578.36,498.9547528
2.848076199,1533.6,673.91,650.5829951
2.681313898,1520.33,844.83,1112.450012
2.523892503,1495.08,930.82,1598.271112
2.523286174,1494.77,929.55,1594.703541
1.76478354,1496.94,878.26,1291.272007
3.197829106,1487.48,922.69,1747.390828
2.44916643,1487.37,946.24,1708.420885
2.280726849,1496.49,924.07,1532.277253
2.433558165,1512.93,880.83,1266.35412
2.226651632,1495.98,934.41,1593.492731
1.839988977,1494.05,938.08,1626.440524
1.910682331,1494.96,905.52,1467.652534
1.480512493,1497.3,829.94,1184.073432
1.413945929,1496.49,896.15,1428.823171
1.178770538,1499.11,860.79,1298.390668
1.160409266,1498.27,874.67,1324.343561
1.191876597,1498.85,874.83,1325.430522
1.020225569,1499.69,826.46,1169.941507
1.011953579,1501.67,813.5,1111.178767
1.005259099,1504.68,798.75,1058.527238
0.977594857,1500.92,797.8,1087.401449
0.954766969,1498.879883,802.8839016,1103.05956
0.954607683,1496.85,817.83,1156.718852
0.734056491,1497.411987,708.2107563,982.1725994
0.954124393,1491.83,817.1,1163.34935
0.68398453,1494.96,721.24,1066.350983
0.665369651,1495.850586,756.8169308,1117.947584
0.800697257,1489.764648,762.3965855,1037.072138
0.766550554,1483.717896,747.1046124,1020.867211
0.750938676,1461.894531,774.9132786,1171.931518
0.784657867,1468.162109,713.5327625,978.7199638
0.772757643,1468.156006,725.3084812,1021.919184
0.691891804,1456.800293,713.2547035,1069.853933
0.671531133,1452.192871,714.9380474,1081.511047
0.674529576,1448.349854,721.0983238,1122.338647
0.741025682,1454.55249,685.9011536,957.9601983
0.627539902,1442.942749,717.8472958,1167.739024
0.709596331,1446.909424,711.4576359,1032.586355
0.677991635,1439.27478,695.5512447,1079.068062
0.705646788,1433.599976,700.2735462,1040.839884
0.65790809,1432.219482,691.6353531,1077.069226
0.605637384,1429.901123,681.8396778,1118.187589
0.646479617,1438.936523,666.5833263,1063.151324
0.575366484,1432.314453,657.8960705,1118.362091
